title,link
병해충별 농업자재 현황정보,
병해충별 유기농업자재 현황정보,
농림식품RnD 연구개발우수사례 정보,
농림식품RnD 학술발표 성과정보,
농림식품RnD 정책활용 성과정보,
농림식품RnD 고용창출 성과 정보,
농림식품RnD 논문 성과 정보,
농림식품RnD 특허 성과 정보,
혁신제품 지정 현황 정보,
농림식품RnD 홍보전시 성과 정보,
농림식품RnD 인력양성 성과 정보,
농림식품 신기술인증 정보,
농림식품RnD 생명자원 성과 정보,
농림식품RnD 신규과제 정보,
농림식품RnD 사업화 성과 정보,
농림식품RnD 공고정보,
농림식품 녹색인증 정보,
농림식품RnD 교육지도 및 활용 성과 정보,
농림식품RnD 동향보고서 정보,
농림식품RnD 계속과제 정보,
농림식품RnD 타연구개발사업활용 성과정보,
축산물등급판정 통계연보,
2024년4분기 국내 검역시행장 현황,
GAP 인증담당자 및 시설담당자 교육일정,
CCTV 관리현황,
농림업 생산지수·생산액,
농식품 데이터 표준,
친환경인증정보,
우수식품인증정보,
농축산물 원산지표시 품목별 적발현황,
농산물우수관리(GAP) 시설정보,
농산물 독소류 분석결과,
하추곡검사계획량,
농축산물 유통조사 현황,
2025 농업인을 위한 한손에 잡히는 세금이야기,
농업진흥지역도,
표준규격관리정보,
지리적표시관리정보,
정곡검사정보,
원산지표시 지역별 적발현황,
원산지표시 업태별 적발현황,
원산지 인증정보,
농산물 안전성 검사기관 지정 현황,
스타팜 정보,
술품질인증정보,
수입농산물검사정보,
사료검정 정보,
농산물이력추적등록정보,
농산물우수관리(GAP) 인증농가 현황,
농산물검정정보,
농산물 방사능 검사현황,
가공용쌀 단속 현황,
자조금단체 현황정보,
복합환경제어기 수집기준정보,
영농폐기물 집하장 및 발생 정보,
농작업 기준정보,
지역별 농산업기관 정보,
지역별 농업종사자 고용현황,
중부지역본부 식물병해충예찰방제센터 소장 표본 목록,
농림축산식품 통계연보,
농림축산식품 주요통계,
농림축산검역본부 e-book 자료관 목록,
축산물 유통정보조사 보고서,
축산물이력제 업무편람(닭·오리),
축산물이력제 업무편람(돼지),
축산물이력제 업무편람(소),
낙농체험 목장 정보,
농림축산식품부_푸드플랜 지원정책 매뉴얼 (2019),
푸드플랜(지역먹거리계획) 사업장별 운영 매뉴얼,
한국농어촌공사 지하수관측소정보,
한국농어촌공사_지하수 수량관리지역,
한국농어촌공사_지하수 질산성질소 등고선,
한국농어촌공사_지하수 관정밀도,
한국농어촌공사_지하수 단위면적당 이용량,
한국농어촌공사_지하수 수질관리지역,
한국농어촌공사_지하수 수소이온농도 등고선,
한국농어촌공사_지하수 전기전도도 등고선,
한국농어촌공사_지하수 관정현황,
한국농어촌공사_지하수 오염취약성도,
한국농어촌공사_지하수 오염예측도,
한국농어촌공사_지하수 수두 등고선,
한국농어촌공사_지하수 수위 등고선,
토양개량제지원 현황,
발전소 발전량 데이터,
화훼공판장별 경매실적(2013~2022),
화훼류 시세현황,
한국농어촌공사_농지전용현황도,
우유 및 유제품 생산소비 현황,
아프리카돼지열병 및 고병원성조류인플루엔자 발생현황,
특용작물 생산실적,
채소류 생산실적,
농지전용허가 협의권한 등의 위임에 관한 사항 비교표,
농지전용신고 시설의 범위 및 규모,
농업진흥지역 밖에서의 허용행위 및 농지전용허가 제한시설,
농업보호구역에서의 허용행위 및 농지전용허가 제한시설,
농업진흥구역에서의 허용행위 및 농지전용허가 제한시설,
인삼 통계 자료,
친환경 인증 품목별 현황,
무항생제축산물 인증정보,
농산물 중금속 분석결과,
축산관계자 출국신고 현황,
해외 우수 한식당 지정 현황,
김치산업 실태조사 결과,
양잠산물 생산현황,
양잠현황(총괄),
양잠 농가현황(양잠농가 소득현황),
양잠 농가현황(기능성 양잠업 종사경력),
양잠 농가현황(기능성 양잠 경영주 연령분포),
원천산지공판장가격목록조회,
곤충산업 현황 실태조사,
농림축산식품부_공적사항 및 수상내역 목록,
농식품 공공데이터 포털 데이터 목록 정보,
농식품 공공데이터 포털 민간데이터 정보,
농식품 공공데이터 포털 시각화 데이터 정보,
농식품 공공데이터 포털 만족도 정보,
농식품 공공데이터 포털 데이터셋 정보,
농식품 공공데이터 포털 기관 정보,
한국농수산대학교 입시 결과,
지역먹거리계획 지자체계획 추진현황 조사결과,
녹비작물 종자 지역별 공급 현황,
농림축산식품부_식생활교육 우수농어촌체험공간 현황,
농림축산식품부_식생활 교육기관 현황,
학교급식 친환경 농산물 주요 품목별 규모,
기본형 공익직불금 안내서(1장),
로컬 푸드 직매장 현황,
농산물종합유통센터 운영 현황,
2024 기본형공익직불사업 시행지침서,
농산물해외수입정보,
농림축산식품부 1천만원 이상 계약현황(2024),
그린하트 기부내역,
한국농수산대학 도서관 자료 소장정보,
중동·북아프리카 주요국 식량 시장 동향 및 스마트팜 진출전략,
식량작물 유묘평가 매뉴얼,
한국농수산대학 교육정보,
국내 발생 고병원성 AI 바이러스 대표주의 유전정보,
동호회 종류별 현황,
명예감시원 현황,
연도별 종자 유통조사 통계 및 종자업 등록 현황,
연도별 종자 수출입 물량 및 국내외 채소종자 생산량 현황,
2024년 동물용의약품산업 종합지원사업 시행지침,
국립종자원_정부 보급종 품종 현황,
정부 보급종 생산 공급 및 보증검사 통계,
정부보급종 벼 생산 현황,
럼피스킨병(LSD) 긴급행동지침(SOP),
철새 이동 정보(2021-2024년),
관리병해충,
농식품 공공데이터 포털 API 메시지 정보,
농식품 공공데이터 포털 API 데이터 정보,
농식품 공공·빅데이터 활용 창업경진대회 정보,
농식품 공공데이터포털 활용사례 정보,
